Företagsnamn,Organisationsnummer,Telefonnummer,Adress
K2 STUDIO AB,559392-1132,,"Badhusberget 5 c, 453 32 Lysekil"
Studio Lindelöw AB,559452-1592,,"Nybohovsgränd 26, 117 63 Stockholm"
Plan & Fasad Mats Tellgren Aktiebolag,556408-9455,Telefon 070-868 33 82,"Björkö Sälleryd 2, 574 95 Björköby"
Charlotte Lindström AB,559033-6995,,"Niagaravägen 22, 263 61 Viken"
DE Design & Ekonomi AB,559294-2105,,"Torsby Skogsväg 21, 139 51 Värmdö"
Sidam AB,559399-5896,,"Greta Garbos Väg 4, 169 40 Solna"
Doktor Muhr AB,559453-7226,,"Båtsmansvägen 3, 182 33 Danderyd"
KjGydell AB,559459-4904,,"Radhusvägen 2 k, 428 35 Kållered"
Gro arkitektur AB,559494-5924,,"Löpargatan 8, 722 41 Västerås"
Klarblå Arkitektkontor Aktiebolag,556331-4664,Telefon 042-21 06 15,"Kungsgatan 8, 252 21 Helsingborg"
Arktis Arkitekter Aktiebolag,556485-5392,,"Borgmästargatan 11, 713 31 Nora"
Road 87 Design AB,559021-4200,,"Mariedalsvägen 1, 132 48 Saltsjö-Boo"
Homestyling & Consulting by Sofie AB,559418-9317,,"Öståkravägen 21, 247 32 Södra Sandby"
MATS ÖHMAN AB,556836-9903,,"Disponentvägen 12 a, 975 94 Luleå"
Forma & Planera i Skåne AB,559118-9815,,"Ångfärjekajen 22, 211 19 Malmö"
CH design trädgård och inredning i Östergötland AB,559445-1170,,"Månestad Anrocigården, 585 93 Linköping"
Per Appelquist AB,556565-7102,Telefon 08-446 04 46,"Ängsklockevägen 111, 181 57 Lidingö"
BLOOM ARKITEKTUR AB,556796-8754,,"Vårdklockegatan 24 b, 621 57 Visby"
Rilato AB,559075-6846,,"Näsgärdsvägen 11, 792 91 Mora"
Activepoint AB,559209-3396,,"Böljemolnsvägen 21, 743 45 Storvreta"
Lindeberg Vision Aktiebolag,556388-1845,,"Svärdvägen 21, 182 33 Danderyd"
E och H Syk AB,556674-1954,,"Utmarksvägen 11, 167 54 Bromma"
AR Fastighetsbyrå AB,556839-0214,,"Alphyddevägen 67 Lgh 2304, 131 35 Nacka"
IMw Design AB,556920-9140,,"Industrigatan 2, 574 76 Korsberga"
Bioinspira by Johanna AB,559265-1185,,"Fagerlidsvägen 1, 196 39 Kungsängen"
Assai AB,559358-2769,,"Ljungsätersvägen 5, 236 41 Höllviken"
Elsmén Ljunge AB,559454-8553,,"Svanvägen 6, 262 60 Ängelholm"
Atelier Mon AB,559459-8012,,"Säbystigen 3 b, 134 64 Ingarö"
Urban Vision Aktiebolag,556497-4615,,"Isbergs Gata 36, 211 19 Malmö"
"PAB, people and brands AB",556776-4120,Telefon 073-030 99 00,"Kullaviks Skolväg 6 b, 429 32 Kullavik"
Rörande Design AB,559237-7773,,"Solbergsvägen 62, 168 66 Bromma"
Systerinteriör Homestyling & Inredning AB,559377-1321,,"Kärnvedsgatan 10, 431 51 Mölndal"
Inotac AB,559377-3582,,"Tegnergatan 8, 113 58 Stockholm"
RecoDeco AB,559468-6346,,"Grönövägen 5, 134 67 Ingarö"
Friedrich Design AB,559498-9328,,"Myrekullevägen 29, 432 93 Varberg"
NJKK Consulting AB,556852-5785,,"Södersätravägen 3 a, 192 65 Sollentuna"
Haanpää Invest AB,559218-9764,,"Bösebergsvägen 8, 722 33 Västerås"
Broker Silvia AB,559294-9175,,"Slåtterbalksgatan 13, 233 44 Svedala"
Gabriella Anderek AB,559444-5396,,"Astrid Lindgrens Gata 2 a, 761 46 Norrtälje"
Waldh Rundqvist Arkitektur AB,559279-0900,,"Olofssons Väg 1, 236 42 Höllviken"
Hilma Öborn AB,559368-1827,,"Ostindiegatan 2 b, 414 53 Göteborg"
Madera&Fuentes AB,556895-0413,,"Vansö Gustavsborg 1, 645 92 Strängnäs"
Swesave AB,559199-6235,,"Södra Vägen 57, 412 54 Göteborg"
Givande Fönsterputs Sverige AB,559483-2338,,Helsingborg
EvoSys AB,556595-2164,Telefon 08-23 04 37,"Fagerholmsvägen 10, 134 63 Ingarö"
SNAPP Arkitekter AB,556735-6976,,"Pipersgatan 11 2tr, 112 24 Stockholm"
Doktor Glas Aktiebolag,556969-8466,,"Falkstigen 47, 182 70 Stocksund"
SIPPAS Bokföringsbyrå AB,559110-6827,,"Härningevägen 179, 262 95 Ängelholm"
Annika Glynos Konsult AB,559371-7951,,"Kalendergatan 21, 261 61 Landskrona"
Nian Reko Bygg & Design AB,556608-3878,Telefon 08-742 03 01,"Kryssarstigen 9, 137 97 Årsta Havsbad"
ItArk Arkitektkontor AB,556643-5193,,"Nyborgsvägen 13 b, 252 21 Helsingborg"
L Naslund Invest AB,556729-2387,,"Blinkfyrvägen 6, 891 78 Bonässund"
Havsrenen AB,556760-1629,Telefon 070-547 29 03,Stockholm
Backhans Arkitektur AB,556863-4199,Telefon 08-400 264 41,"Sickla Kanalgata 17 c, 120 67 Stockholm"
F. Karlsson konsult AB,559078-7387,Telefon 070-277 34 77,"Selmedalsvägen 80, 129 37 Hägersten"
Rock Garden AB,559271-3688,,"Kommendörsgatan 12, 114 48 Stockholm"
Sofia Westin AB,559273-6820,,"Riddargatan 70, 114 57 Stockholm"
Löfström Arkitektkontor Aktiebolag,556232-7667,Telefon 070-562 78 87,"Ordensbacken 7 1trn, 181 51 Lidingö"
Taide AB,556366-8184,Telefon 046-736 42 84,"Närkesgatan 4, 116 40 Stockholm"
AC Rentner Invest AB,556466-8266,Telefon 010-574 57 87,"Lärkstigen 8, 254 78 Domsten"
MaxEng Byggkonsult AB,556518-6573,,"Smedjegatan 37, 352 46 Växjö"
Malin Nyhlin AB,556787-1495,,"Issjövägen 71, 761 11 Bergshamra"
Sandberg & Co AB,556828-7956,,"Ludvigsbergsvägen 13, 852 34 Sundsvall"
Vindhus AB,556880-3505,,"Sibyllegatan 38, 114 43 Stockholm"
Oddarc AB,556993-4598,,"Vältuddsvägen 15, 133 37 Saltsjöbaden"
Halim Architects AB,559399-7702,,"Opalvägen 2, 451 62 Uddevalla"
WJF AB,559435-1461,,"Allégatan 6, 232 31 Arlöv"
Ekviria Design & Edition AB,556517-4686,Telefon 08-664 03 40,"Grebyvägen 7, 617 71 Kimstad"
Haward & Busck AB,556908-4972,,"Ragnarsväg 12, 231 79 Smygehamn"
Ordningsexperterna Saltsjön AB,559048-9000,,"Svartviksringen 11, 133 36 Saltsjöbaden"
Staeger Consulting AB,559106-8167,Telefon 073-310 25 81,"Södra Parkgatan 16, 561 42 Huskvarna"
Studio My Degerth AB,559374-1779,,"Brännkyrkagatan 71, 118 23 Stockholm"
Therese Bruno AB,559398-2803,,"Duvhöksgatan 38, 254 49 Helsingborg"
The Remakers Sweden AB,559528-4489,,"Arlagången 6, 418 77 Göteborg"
Dolk Arkitektkontor Aktiebolag,556317-4910,Telefon 0493-519 13,"Hamngatan 4, 594 32 Gamleby"
Ellips Arkitekter Aktiebolag,556419-4917,Telefon 070-851 06 69,"Stigbergsgatan 35 a, 116 28 Stockholm"
I & D Design AB,556615-4646,Telefon 070-441 61 14,"Fållvägen 28, 179 60 Stenhamra"
Emliths AB,556990-6828,,"Vårbacken 3, 131 41 Nacka"
Arosgården AB,559107-6848,,"Kärlekshagen 7, 761 11 Bergshamra"
Joar Nordvall Arkitekt AB,559393-5975,,"Torsgatan 1, 111 23 Stockholm"
Wood & Bloom AB,559419-8706,,"Birger Sjöbergs Väg 1, 311 40 Falkenberg"
Erikslid Mark och Trädgårdskonsulter AB,559485-1353,,"Ringvägen 1 l, 147 70 Grödinge"
Per Sundstedt Aktiebolag,556440-1999,Telefon 08-664 61 35,"Tantogatan 43 1tr, 118 42 Stockholm"
Kabusa Project & Consulting AB,556569-7462,Telefon 070-161 16 11,"Dansarens Väg 10, 272 94 Simrishamn"
ARKITEKTFIRMA J. IVARSON AB,556851-2031,,"Björkvägen 5, 663 44 Hammarö"
My Secret Rooms AB,556930-6888,,"Slåttervägen 12, 282 62 Bjärnum"
lb arkitektkontor AB,559215-1574,,"Heurlins Plats 9, 413 04 Göteborg"
Kastell & Laval AB,559312-9181,,999 99 Adress Saknas
Happy Green Queen AB,559368-2106,,"Fjällglimten 29, 832 45 Frösön"
Björn Fastighetsutveckling AB,559414-4619,,"Östra Tingsvägen 12, 903 62 Umeå"
"Formverkstan Söder, arkitekter & konstnärer Aktiebolag",556343-5162,Telefon 08-640 95 05,"Tjärhovsgatan 44, 116 28 Stockholm"
Guldberg Konsult AB,556602-6489,,"Tegnérgatan 55 b, 111 61 Stockholm"
nykarriar.se Oskarshamnsmodellen AB,556906-6508,,"Kolmilevägen 2, 572 36 Oskarshamn"
36.O collaboration design AB,559093-8188,,"Nyponvägen 1, 185 39 Vaxholm"
Rivergate AB,559114-4596,,"Ågatan 22, 795 31 Rättvik"
Arkitektbyrån i Gävle Aktiebolag,556241-4622,Telefon 026-65 45 00,"Bäverstigen 14, 806 41 Gävle"
add ULRIKA AB,556644-2009,,"Ferievägen 3, 269 35 Båstad"
Hall Berglund arkitektur & design AB,556711-7162,,"Germunds Väg 14, 193 40 Sigtuna"
Remoodeling AB,559061-5554,,"Jebsens Väg 4, 433 31 Partille"
Linaria AB,559303-4175,,"Kaplansbacken 5, 112 24 Stockholm"
Horizon Edge AB,559454-4560,,"c/o Amir Saeedian Tarshizi, Smedsvängen 44 b Lgh 1001, 352 54 Växjö"
Björkhagen Ingenjörsbyrå AB,559534-5801,,"Slåttergatan 6, 256 56 Helsingborg"
RolfAllan design AB,556327-2391,Telefon 031-93 08 08,"Bergsträdgården 7, 416 60 Göteborg"
Esse Design Studio AB,559194-0464,,"Klockarebovägen 20, 746 37 Bålsta"
Construction Architecture Design Innovation Sverige AB,559223-2945,,"Nybrogatan 20, 212 32 Malmö"
BMP Holding AB,559288-2368,,"Kleva 1, 457 91 Tanumshede"
Nordic Urban Gardener AB,559305-9743,,"Teatergatan 17, 411 35 Göteborg"
Stockholm Arkitektur & Bygg AB,559308-3396,,"Skarpövägen 5, 132 32 Saltsjö-Boo"
LUXLD AB,559391-2669,,"Kaprifolgatan 6, 722 45 Västerås"
Syntes Design Aktiebolag,556453-8667,Telefon 08-662 66 90,"Skirnervägen 12 b, 182 67 Djursholm"
Johan Kristiansen AB,559050-0897,,"Mörkövägen 51, 122 60 Enskede"
Flora trädgård i Norrköping AB,559466-9268,,"Hallonstigen 8, 605 70 Svärtinge"
SKALA Arkitekter Aktiebolag,556206-6372,Telefon 08-743 03 75,"Ösmogatan 23, 122 48 Enskede"
Mobilitas Sweden AB,556525-4058,,"Centralvägen 24 a, 135 51 Tyresö"
ELKA:a Konsult AB,559163-7441,,"Alpstigen 16, 141 41 Huddinge"
STEJA AKTIEBOLAG,559273-1177,,"Saltsjövägen 3 a, 133 35 Saltsjöbaden"
Industri & Design i Örebro AB,559356-3041,,"Hovsta Kumla 613, 703 76 Örebro"
SaCi interiör AB,559410-4845,,593 93 Västervik
Wide Trädgårdsdesign AB,559458-9458,,"Vedettvägen 7, 183 50 Täby"
Slutplattan HAMLO 127110 AB,559468-0463,,"c/o Bolagsstiftarna AB, Box 12086, 402 41 Göteborg"
Arkitektstudio Rolf Möller AB,556492-3208,Telefon 070-525 51 56,"Vårelden 5, 393 59 Kalmar"
Rickard Berggren AB,556828-7519,,"Heimdalsgatan 2, 113 28 Stockholm"
CAFT Städ och Styling AB,559224-7398,,"Hjortronvägen 16, 426 55 Västra Frölunda"
Kogai Invest AB,559260-9712,,"Ursviks Allé 55, 174 64 Sundbyberg"
Brandett Hus & Trädgård AB,559522-1630,,"Älmåsvägen 21, 352 42 Växjö"
HG Gruppen AB,556680-6955,Telefon 073-946 65 71,"Bergfotsvägen 9, 147 33 Tumba"
MalmöDesign AB,556835-9920,Telefon 070-486 85 69,"Börringegatan 5 a, 217 72 Malmö"
"Arrhenius Produktion, Kultur och Naturvård AB",559022-4522,,"Torkel Knutssonsgatan 35, 118 49 Stockholm"
Frans Enmark Design AB,559093-5788,,"Bengt Ekehjelmsgatan 11, 118 54 Stockholm"
Creöhem AB,559179-1008,,"Birger Svenssons Väg 38, 432 40 Varberg"
Trust the social AB,556857-8974,Telefon 018-34 20 00,"S:T Göransgatan 26 d, 753 24 Uppsala"
Millvan consulting AB,559356-4296,,"Tomta 128, 824 74 Delsbo"
Roos Arkitektur AB,559497-0393,,"Sollidenvägen 35, 236 42 Höllviken"
Sodiri AB,559506-7223,,"Grafs Byaväg 16, 231 67 Trelleborg"
Hans Wieland Arkitektkontor Aktiebolag,556102-9272,Telefon 08-717 21 64,"Vinterbrinksvägen 57, 133 32 Saltsjöbaden"
L&S Design AB,556793-4814,,"Tingslagsgatan 2 b, 724 75 Västerås"
Piper Mäkitalo AB,559219-6066,,"Linnégatan 98, 115 23 Stockholm"
TrixTek AB,559294-8078,,"Korpralsvägen 2, 632 36 Eskilstuna"
Inside Consulting AB,559295-6014,,"Hillerödsvägen 12 a, 217 47 Malmö"
Volym design studio AB,559483-3856,,"Ursviksvägen 2 b, 172 36 Sundbyberg"
Kapaster Studio AB,559509-6016,,"Billdals Lövskogsväg 19, 427 38 Billdal"
Zazi Design AB,556781-6540,Telefon 070-392 98 50,"Skogsmarksvägen 14, 112 65 Stockholm"
Lilon AB,556871-7721,,"Ingenjörsgatan 5, 411 19 Göteborg"
AM Photography AB,559002-3643,,"Valhallavägen 59 1003, 114 22 Stockholm"
DEPAMAL AB,559082-7985,,"Carlandersplatsen 6, 412 55 Göteborg"
LW Konsult AB,559186-7808,,"Abborrgränd 19, 262 41 Ängelholm"
MMX YYZ Architecture AB,559216-3462,,"Smedstorpsgatan 2, 212 28 Malmö"
CL-living.housedesign AB,559240-9642,,"Solbacken 2, 341 96 Ljungby"
FAYS AB,559273-0716,,"Engelbrektsgatan 35, 411 37 Göteborg"
Htdstudio AB,559360-0579,,"Eskilsgatan 77, 633 56 Eskilstuna"
Evolution Mix AB,559363-7381,,"Södra Kedum Kocklanna 3, 534 94 Vara"
Österlens arkitekturverkstad Aktiebolag,556661-6313,,"Fröslövsvägen 545, 271 76 Löderup"
PineCloud AB,556866-8064,,"Malmgårdsvägen 63, 116 38 Stockholm"
FabriCat AB,559150-5713,,"Hindås Stationsväg 73, 438 54 Hindås"
Atelier Vidner AB,559154-3474,,"Mäster Henriksgatan 7 f, 211 58 Malmö"
Idéal INTERIÖR STHLM AB,559292-0069,,"Rehnsgatan 3, 113 57 Stockholm"
Juniston Design AB,559403-4604,,"Kristdalavägen 30, 577 90 Vena"
rahe+rahe design AB,556763-6336,,"Maleviksbacken 7, 429 35 Kullavik"
Svahn Living AB,556801-7221,,"Valhallavägen 139, 115 31 Stockholm"
Daily Decades Architect Atelier AB,559281-2175,,"Brödevägen 11, 277 45 Sankt Olof"
HTR Arkitektur AB,559302-3616,,"Adelgatan 9, 211 22 Malmö"
DEXOR Aktiebolag,556352-4445,Telefon 0171-46 07 30,"Torsvägen 14, 749 60 Örsundsbro"
Hamelius och Hultin AB,556944-4861,Telefon 070-828 72 57,"Högåsvägen 11, 741 41 Knivsta"
Herdevall Arkitekter AB,559040-3951,,"Svenonius Väg 14, 185 94 Vaxholm"
Ha-ha-land AB,559239-3911,,"Långsjövägen 20, 131 33 Nacka"
Balin Holding Aktiebolag,559288-6963,,"Åvägen 48, 141 30 Huddinge"
Villa Grönska AB,559334-7551,,"Tingshusvägen 11, 388 91 Vassmolösa"
MG Trädgårdsdesign AB,559379-6351,,"Floravägen 2, 802 67 Gävle"
SOBISKO AB,559509-4391,,Stockholm
FaT Arkitekter AB,556384-2771,Telefon 08-717 57 15,"Idunvägen 13, 133 38 Saltsjöbaden"
Bo Armstrong Arkitekt & Design AB,556507-4332,,"Kaprifolgatan 24, 426 69 Västra Frölunda"
ESLO AB,559065-3936,,"Stenbacksvägen 54, 291 70 Kristianstad"
Konsult och design Onsala AB,559425-9979,,"Hedkullavägen 6, 439 94 Onsala"
Ateljé Bohauk Aktiebolag,559443-8623,,"Mors Backe 1, 414 67 Göteborg"
Gramaco Aktiebolag,556327-6962,Telefon 08-755 20 50,"Heimdalsvägen 16, 182 63 Djursholm"
Autobahn Arkitektur Aktiebolag,556685-3304,Telefon 08-760 96 99,"Rölle 11, 516 94 Dannike"
Wohnhaus inredning & homestaging i Sverige AB,556720-8136,Telefon 073-531 44 73,"Mittfältsgatan 3, 169 41 Solna"
Per Olofssons Snickeri AB,556834-6885,,"Skårvägen 5, 475 31 Öckerö"
Bihler & Olsen Consulting AB,556956-3538,,"Skräddartorpsvägen 10 a, 644 36 Torshälla"
Gio Olla AB,556969-9977,,"Harpsundsvägen 33, 124 58 Bandhagen"
Arntz Sports & Creation AB,559118-0715,,"c/o Lisa Viktor, Torset Skogslyckan 1, 341 55 Vittaryd"
C92 Projektering AB,559452-5650,,"Valhallagatan 3 c, 532 34 Skara"
CeciliaBK & Partner AB,559474-4673,,"Berghällsvägen 17, 186 55 Vallentuna"
Streckritaren AB,559474-5746,,Stockholm
Lärjeå Aktiebolag,559517-4318,,"Sandeslätt 32 Lgh 1002, 424 36 Angered"
Två Lybing Aktiebolag,556917-1571,,"Nynäsvägen 327 Lgh 1101, 122 34 Enskede"
Jenny Berglund Kreativ Konsult AB,559521-1284,,"Tjärngatan 7, 861 41 Sörberge"
SoMaLo AB,556683-6713,,"Grönviksvägen 141, 167 76 Bromma"
Enuma AB,556796-0264,,"Nyhyttan 8, 783 91 Säter"
Berg-Kvist Arkitekter AB,559270-4067,,"Torggatan 24, 931 31 Skellefteå"
Equine Architect AB,559449-2505,,"Rosenhillsvägen 16, 137 36 Västerhaninge"
C-Line Homedesign AB,559534-5173,,"Östra Eriksbergsgatan 12, 417 60 Göteborg"
MIT House Com AB,556304-4121,,"Ullebovägen 2, 432 53 Varberg"
Wesslén & Wesslén AB,556395-7405,Telefon 070-797 64 33,Umeå
Rickan Konsulting AB,559120-3681,,"Mariebergsvägen 15, 652 29 Karlstad"
LÅAB Bebyggelsevård AB,559474-2115,,"Havsfruvägen 12, 167 62 Bromma"
Bergman arkitektur & design AB,559528-5114,,"Jöns Filsgatan 15, 211 33 Malmö"
KMZ Invest AB,556952-3649,,"Skeppsbron 16, 111 30 Stockholm"
acoya design house AB,559258-2240,,Stockholm
A & H Arkitekter AB,559265-0161,,"Vintergatan 12 Lgh 1303, 172 69 Sundbyberg"
creampuff AB,559304-4562,,"Alströmergatan 49, 112 47 Stockholm"
L&W Homestyling AB,559321-0254,,"Kärnvedsgatan 46, 431 51 Mölndal"
Southern Waters AB,556881-1995,,"Floragatan 5 Bv, 114 31 Stockholm"
Brica Group Sweden AB,559075-4882,,"Konstnärsvägen 3, 892 32 Domsjö"
Barefoot AB,559262-3903,,"Avtalsvägen 1, 187 50 Täby"
Homestyling by Sofie Severinsson AB,559528-7904,,"Vitsippestigen 15, 432 36 Varberg"
Hising Arkitektbyrå AB,556824-3538,,"Handelsvägen 34, 122 32 Enskede"
Blinkande Lyktor AB,556999-5433,,"Stenkyrka Likkarsvägen 8 a, 624 42 Tingstäde"
OLIBEN AB,559108-4941,,"Hässelby Strandväg 21, 165 65 Hässelby"
H.L. Bauer Aktiebolag,559321-1773,,"Fribergsgatan 8 Lgh 1601, 412 60 Göteborg"
Systrarna Ute&Inne AB,556554-3849,,"Vagnhärad Station, 610 71 Vagnhärad"
Nora W Inter AB,559230-0254,,"Fågelstavägen 22, 124 33 Bandhagen"
Mattisson Design AB,559407-4329,,"Mikrogatan 25, 507 43 Borås"
LENSOR AB,559116-4529,,"Bråttensby Dyliden 1, 524 91 Herrljunga"
Pålsson Ritar AB,559407-4543,,"Harstigen 1, 427 40 Billdal"
Palmeby & Elfving arkitekter AB,556288-0079,Telefon 031-81 39 25,"Jättegrytsgatan 22, 412 68 Göteborg"
Bällsta Gård Aktiebolag,559046-6040,,"Nygatan 6, 834 32 Brunflo"
Instascan AB,559053-0043,,"Vaniljvägen 5, 123 55 Farsta"
Fermell Holding AB,559264-0451,,"Brätteshultsvägen 67, 439 75 Fjärås"
Minh AB,556618-3504,,"Ormbergsvägen 16, 117 67 Stockholm"
Viksölandet AB,556809-3818,Telefon 070-754 44 75,"Framnäsbacken 1 7tr, 171 66 Solna"
Pinestudio Architecture AB,559026-6978,,"Skansvägen 2, 132 37 Saltsjö-Boo"
HHS AB,559074-0808,,"Götabergsgatan 11 a, 411 34 Göteborg"
Home by N AB,559264-8538,,"Vasagatan 60, 411 37 Göteborg"
DBL Studio AB,559290-1291,,"Backen 202, 836 95 Ås"
C.Creative Consulting AB,559374-2074,,"Trolltjärn 9, 436 40 Askim"
Svahn Kulturmiljö AB,559418-1462,,"Igelkottsvägen 55, 167 57 Bromma"
Holms Bostadsresa AB,559478-0727,,"Blekholmsterrassen 7, 111 64 Stockholm"
Badhuskompaniet AB,556626-0823,,"Kastellgatan 12 a, 411 22 Göteborg"
Leif Carlsson Arkitekt & Bildfirma AB,556734-8593,,"Tallkrogsvägen 30, 122 63 Enskede"
Kulör of Sweden AB,556861-0298,,"Djurövägen 128, 605 91 Norrköping"
Termino C 14382 AB,556925-4039,,"c/o Citadellet Likvidationer AB, Strandgatan 7, 185 32 Vaxholm"
Clark Arkitektur AB,559208-6275,,"Brottkärrs Röseväg 10 b, 436 58 Hovås"
Jaana BizDev AB,559299-4254,Telefon 072-248 95 95,"Vallby-Husby 4, 745 98 Enköping"
Uttrycksfull AB,559440-2520,,"Måns Klockares Väg 3, 352 73 Växjö"
Aktiebolaget Intrecéra,556373-8961,,"Närstad Gården 1, 597 91 Åtvidaberg"
Jerker Edfast Arkitektkontor AB,556676-2877,,"Norratorpsvägen 45-25, 290 37 Arkelstorp"
LM Conservation Corporation AB,556805-2442,Telefon 070-821 16 65,"Eksholmsvägen 291, 233 76 Klågerup"
ERON Byggkonsult AB,556890-7439,,"Kapellgatan 12 Lgh1104, 271 31 Ystad"
Kerstin Bohne AB,559051-1480,,"Stenshult 420 Lägenhetsnr 1001, 473 91 Henån"
M. Arkitektur AB,559117-2522,,"Tallåsvägen 17, 182 75 Stocksund"
Tom Tag AB,559309-2876,,"Tomtagatan 4 c, 619 30 Trosa"
Aktiebolaget Letina,556310-9783,Telefon 08-753 08 50,"Klippgatan 14 c, 116 35 Stockholm"
Biversten Arkitektfirma Aktiebolag,556332-0273,Telefon 0500-41 42 30,"Rådhusgatan 1, 541 40 Skövde"
Arkitekt Magnus Månsson Aktiebolag,556341-9877,,"Ovanskogsliden 6, 416 56 Göteborg"
Agency for Adaptive Architecture AAA AB,556574-6152,Telefon 079-351 34 61,"Östgötagatan 26, 116 25 Stockholm"
G & G Consulting AB,556705-4902,,"Bondegatan 24, 904 21 Umeå"
Into the Wild AB,556773-7886,,"Örnstigen 12, 780 91 Sälen"
A and A Kungsten AB,556963-8348,,"Larsbergsvägen 48, 181 39 Lidingö"
AB Arkitekt Bengt Strandberg,559067-4395,,"Moa Martinsons Gata 11, 632 28 Eskilstuna"
The rug project Stockholm AB,559174-0799,,"Wadköpingsvägen 15, 168 39 Bromma"
Nordh Arkitektur AB,559517-8509,,"Gamla Särövägen 38, 436 42 Askim"
c/o jannika AB,556889-7630,Telefon 070-456 18 72,"Hornsgatan 29 d, 118 49 Stockholm"
ARKO Thomas Klevås Arkitektkontor AB,559523-7883,,"Hammars Parkväg 35, 216 30 Limhamn"
Hemma hos M AB,556564-0637,Telefon 042-21 06 00,"Johan Banérs Gata 38, 254 40 Helsingborg"
House of Emy AB,556783-4006,Telefon 08-441 28 12,"Älvesta 110, 692 92 Kumla"
Åsa Lundberg Arkitektur AB,556978-9885,,"Tegelviksgatan 54, 116 41 Stockholm"
Andrén Stadsbyggnad AB,559078-3196,,"Grönbrinksgatan 2, 117 59 Stockholm"
C.K Måleri AB,559262-9736,,Stockholm
Coastwave Invest AB,559312-1113,,"Katjavägen 6, 269 37 Båstad"
Freshwater Studio AB,559342-3923,,"Kvarnsjövägen 10, 132 39 Saltsjö-Boo"
Termino C 14332 AB,559360-2013,,"c/o Citadeller Likvidationer AB, Strandgatan 7, 185 32 Vaxholm"
Well Valley AB,559362-8547,,"Baltzarsgatan 26, 211 36 Malmö"
INRE REDA AB,559419-4028,,"Ullån 180, 837 98 Åre"
Philip Tornberger Design AB,559432-3528,,"Josefs Väg 9, 439 52 Åsa"
Anna Kawai Arkitekt AB,559483-5505,,"Vidkärrsallén 2 c, 416 75 Göteborg"
Niklas Ankar AB,556656-7318,Telefon 08-663 19 97,"Kristineholm Herrgården 1, 762 97 Edsbro"
ValQual AB,556766-8180,,"c/o Advokaterna Söderman & Bergsten HB, Box 83, 795 22 Rättvik"
Johannes Book AB,559002-7594,,"Strandmarksvägen 56 a, 231 92 Trelleborg"
Fedra Interiors & Antiques AB,559044-4807,,"Karlavägen 74, 114 59 Stockholm"
AR-T Arkitekter & Ingenjörer AB,559245-2113,,"Nygatan 13, 903 27 Umeå"
Studio Wickström AB,559305-7929,,"Pilotgatan 8 Nb, 128 32 Skarpnäck"
Grön Design i Örebro AB,559525-1819,,"Vekhyttan 3289, 716 93 Fjugesta"
Studio Nod AB,559534-6619,,"Sveavägen 24-26 4 Vån, 111 57 Stockholm"
Ekvilibrium Talarförmedling AB,556474-9512,,"Hotellvägen, 133 35 Saltsjöbaden"
Studio A Arkitekter AB,556619-7918,Telefon 070-779 39 98,"Björkliden 3, 703 58 Örebro"
Fabienne Wingstrand AB,559048-4530,,"Gaterseredsvägen 7 b, 427 50 Billdal"
Arenander Project Consulting AB,559214-4900,,"Sjöbrisvägen 53, 761 91 Norrtälje"
Jankov Trädgårdsdesign AB,559229-0182,,"Sparvgatan 11 m, 283 35 Osby"
Patma by Sjoberg AB,559339-7168,,"Arenavägen 3, 191 35 Sollentuna"
Martin Architecture AB,559361-1865,,"Mälarvägen 30, 756 53 Uppsala"
Grace interiör & design AB,559425-1497,,"Borgmästarvägen 18, 618 35 Kolmården"
Loggia Arkitekter AB,556476-6383,Telefon 070-657 66 44,"Rödabergsbrinken 10, 113 30 Stockholm"
Greitz XS AB,556961-0438,,"Carl Anderssons Gata 3 Nb, 185 32 Vaxholm"
Hamtil AB,559035-2752,,"Tulpanvägen 7, 125 53 Älvsjö"
Linnen AB,559069-1027,,"Odengatan 98 Lght 1402, 113 22 Stockholm"
Isammahus AB,559215-6508,,"Ouvertyrvägen 9, 245 42 Staffanstorp"
Stylish Stockholm AB,559432-7529,,"Nytorpsvägen 1, 135 68 Tyresö"
OnM Design Studio AB,559484-2535,,"Fornahässlevägen 20, 283 96 Killeberg"
MARK & LANDSKAP i Väst AB,556703-8699,Telefon 070-444 80 13,"Aspholmsgatan 17, 553 23 Jönköping"
studio näv aktiebolag,556988-4256,,"Midsommarslingan 2, 126 30 Hägersten"
Gullbrantz Inredningsarkitektur AB,559394-2633,,"Odlingsgatan 82, 442 53 Ytterby"
Onix International AB,556720-6205,Telefon 042-15 09 59,"Långgatan 19 b, 263 33 Höganäs"
IT-Tjänster i Markaryd AB,556973-4485,,"Esplanaden 2, 285 31 Markaryd"
NAN SOLID AB,556984-5471,,"Stenhammars Väg 4, 756 49 Uppsala"
"If There's A Will, There's A Way AB",559003-4699,,"Uddevallagatan 28, 416 70 Göteborg"
